,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
52,2022,2,Chubut,45.0,69.0,10.0,30.0,9.0,163.0
53,2022,2,Córdoba,179.0,468.0,309.0,61.0,10.0,1027.0
54,2022,2,Corrientes,38.0,76.0,18.0,7.0,5.0,144.0
55,2022,2,Entre Ríos,64.0,131.0,36.0,26.0,13.0,270.0
56,2022,2,Formosa,15.0,25.0,10.0,17.0,212.0,279.0
57,2022,2,Jujuy,20.0,54.0,34.0,4.0,2.0,114.0
58,2022,2,La Pampa,8.0,59.0,23.0,20.0,1.0,111.0
59,2022,2,La Rioja,8.0,53.0,19.0,6.0,31.0,117.0
60,2022,2,Mendoza,38.0,78.0,136.0,27.0,2.0,281.0
61,2022,2,Misiones,37.0,89.0,34.0,11.0,8.0,179.0
62,2022,2,Neuquén,30.0,75.0,29.0,27.0,1.0,162.0
63,2022,2,Río Negro,36.0,47.0,41.0,17.0,19.0,160.0
64,2022,2,Salta,43.0,96.0,47.0,10.0,7.0,203.0
65,2022,2,San Juan,39.0,20.0,12.0,22.0,8.0,101.0
66,2022,2,San Luis,7.0,29.0,248.0,71.0,15.0,370.0
67,2022,2,Santa Cruz,10.0,24.0,11.0,4.0,579.0,628.0
68,2022,2,Santa Fe,198.0,428.0,190.0,43.0,20.0,879.0
69,2022,2,Santiago Del Estero,17.0,80.0,12.0,7.0,3.0,119.0
70,2022,2,Tierra Del Fuego,13.0,40.0,403.0,125.0,651.0,1232.0
71,2022,2,Tucumán,86.0,15.0,149.0,4.0,487.0,741.0
72,2022,1,Buenos Aires,392.0,3.0,1.0,126.0,67.0,589.0
73,2022,1,Capital Federal,102.0,1.0,62.0,6.0,30.0,201.0
74,2022,1,Catamarca,14.0,16.0,29.0,1.0,2.0,62.0
75,2022,1,Chaco,32.0,65.0,37.0,8.0,2.0,144.0
76,2022,1,Chubut,44.0,67.0,9.0,31.0,21.0,172.0
77,2022,1,Córdoba,196.0,502.0,236.0,61.0,10.0,1005.0
78,2022,1,Corrientes,40.0,79.0,11.0,7.0,5.0,142.0
79,2022,1,Entre Ríos,67.0,139.0,23.0,26.0,13.0,268.0
80,2022,1,Formosa,16.0,16.0,5.0,17.0,202.0,256.0
81,2022,1,Jujuy,21.0,61.0,26.0,5.0,4.0,117.0
82,2022,1,La Pampa,8.0,59.0,22.0,20.0,1.0,110.0
83,2022,1,La Rioja,9.0,59.0,10.0,6.0,31.0,115.0
84,2022,1,Mendoza,49.0,74.0,123.0,27.0,1.0,274.0
85,2022,1,Misiones,39.0,92.0,25.0,8.0,8.0,172.0
86,2022,1,Neuquén,28.0,73.0,24.0,23.0,745.0,893.0
87,2022,1,Río Negro,39.0,45.0,38.0,17.0,18.0,157.0
88,2022,1,Salta,45.0,99.0,41.0,6.0,7.0,198.0
89,2022,1,San Juan,34.0,14.0,11.0,21.0,8.0,88.0
90,2022,1,San Luis,8.0,11.0,31.0,72.0,29.0,151.0
91,2022,1,Santa Cruz,11.0,23.0,11.0,4.0,405.0,454.0
92,2022,1,Santa Fe,213.0,445.0,147.0,45.0,21.0,871.0
93,2022,1,Santiago Del Estero,18.0,88.0,1.0,6.0,3.0,116.0
94,2022,1,Tierra Del Fuego,13.0,39.0,416.0,124.0,340.0,932.0
95,2022,1,Tucumán,93.0,62.0,86.0,4.0,487.0,732.0
96,2021,4,Buenos Aires,426.0,3.0,1.0,127.0,73.0,630.0
97,2021,4,Capital Federal,111.0,1.0,60.0,6.0,30.0,208.0
98,2021,4,Catamarca,16.0,14.0,25.0,2.0,2.0,59.0
99,2021,4,Chaco,36.0,63.0,35.0,8.0,2.0,144.0
100,2021,4,Chubut,46.0,57.0,10.0,28.0,19.0,160.0
101,2021,4,Córdoba,212.0,487.0,217.0,61.0,9.0,986.0
102,2021,4,Corrientes,43.0,71.0,10.0,7.0,5.0,136.0
103,2021,4,Entre Ríos,70.0,133.0,23.0,25.0,13.0,264.0
104,2021,4,Formosa,17.0,15.0,5.0,16.0,172.0,225.0
105,2021,4,Jujuy,22.0,61.0,24.0,3.0,4.0,114.0
106,2021,4,La Pampa,8.0,58.0,20.0,19.0,1.0,106.0
107,2021,4,La Rioja,10.0,57.0,9.0,7.0,31.0,114.0
108,2021,4,Mendoza,60.0,72.0,110.0,25.0,2.0,269.0
109,2021,4,Misiones,42.0,92.0,22.0,8.0,8.0,172.0
